NodeID,SVM_Max,X,Y,Z
197,919.0315183635921,98.0,8.0,0.0
198,1081.0661547996149,96.0,8.0,0.0
199,1238.5682777903253,94.0,8.0,0.0
200,1389.8013583835925,92.0,8.0,0.0
201,1533.8202632548027,90.0,8.0,0.0
202,1669.8054740428963,88.0,8.0,0.0
203,1796.5186309328453,86.0,8.0,0.0
204,1913.221310647879,84.0,8.0,0.0
205,2019.286920360524,82.0,8.0,0.0
206,2114.327371869554,80.0,8.0,0.0
207,2197.9452699352937,78.0,8.0,0.0
208,2269.451765747543,76.0,8.0,0.0
209,2328.4123389145107,74.0,8.0,0.0
210,2374.3914127136104,72.0,8.0,0.0
211,2406.954990158268,70.0,8.0,0.0
212,2425.6879264710788,68.0,8.0,0.0
213,2430.2214417782593,66.0,8.0,0.0
214,2420.265697996244,64.0,8.0,0.0
215,2395.639047951927,62.0,8.0,0.0
216,2356.2890721767576,60.0,8.0,0.0
217,2307.639654529437,58.0,8.0,0.0
218,2250.1979369248643,56.0,8.0,0.0
219,2178.6869295650026,54.0,8.0,0.0
220,2093.4349850424824,52.0,8.0,0.0
221,1994.8140988908285,50.0,8.0,0.0
222,1883.2152036009643,48.0,8.0,0.0
223,1759.0342507745975,46.0,8.0,0.0
224,1622.6723682727559,44.0,8.0,0.0
225,1474.5514484424602,42.0,8.0,0.0
226,1315.1446499806004,40.0,8.0,0.0
227,1145.0230654260376,38.0,8.0,0.0
228,964.9282566083452,36.0,8.0,0.0
229,782.191256725812,34.0,8.0,0.0
230,601.1641377755371,32.0,8.0,0.0
231,416.008877558732,30.0,8.0,0.0
232,281.1906825534448,28.0,8.0,0.0
233,485.2824683750808,26.0,8.0,0.0
234,704.2811180819515,24.0,8.0,0.0
235,930.7797977987873,22.0,8.0,0.0
236,1162.3446316773804,20.0,8.0,0.0
237,1397.6269631473592,18.0,8.0,0.0
238,1635.5603091080866,16.0,8.0,0.0
239,1875.172199507191,14.0,8.0,0.0
240,2124.358460454933,12.0,8.0,0.0
241,2378.01038601715,10.0,8.0,0.0
242,2626.7120455671197,8.0,8.0,0.0
243,2882.5808177819454,6.0,8.0,0.0
244,3096.652931702106,4.0,8.0,0.0
245,3440.478748409818,2.0,8.0,0.0
246,911.4792200484945,98.0,6.0,0.0
247,1074.25543719705,96.0,6.0,0.0
248,1232.191819943272,94.0,6.0,0.0
249,1383.7221453553225,92.0,6.0,0.0
250,1527.916739373336,90.0,6.0,0.0
251,1664.0341143206942,88.0,6.0,0.0
252,1790.8388762462655,86.0,6.0,0.0
253,1907.6056903211006,84.0,6.0,0.0
254,2013.71363440511,82.0,6.0,0.0
255,2108.761993895564,80.0,6.0,0.0
256,2192.379379883088,78.0,6.0,0.0
257,2263.8624395792094,76.0,6.0,0.0
258,2322.777163738552,74.0,6.0,0.0
259,2368.6905297771746,72.0,6.0,0.0
260,2401.173666229356,70.0,6.0,0.0
261,2419.818141631837,68.0,6.0,0.0
262,2424.2622725878477,66.0,6.0,0.0
263,2414.2221041982402,64.0,6.0,0.0
264,2389.5194923497993,62.0,6.0,0.0
265,2350.1013054084215,60.0,6.0,0.0
266,2301.5293301547904,58.0,6.0,0.0
267,2244.0259780729166,56.0,6.0,0.0
268,2172.438716742026,54.0,6.0,0.0
269,2087.0831423809227,52.0,6.0,0.0
270,1988.3168860721255,50.0,6.0,0.0
271,1876.5153149784094,48.0,6.0,0.0
272,1752.0564768812785,46.0,6.0,0.0
273,1615.3185060346555,44.0,6.0,0.0
274,1466.6894967187973,42.0,6.0,0.0
275,1306.5874215777164,40.0,6.0,0.0
276,1135.485595185749,38.0,6.0,0.0
277,953.9393398810078,36.0,6.0,0.0
278,770.6920226434044,34.0,6.0,0.0
279,586.5535817763916,32.0,6.0,0.0
280,395.16436666212246,30.0,6.0,0.0
281,253.91507334245017,28.0,6.0,0.0
282,467.46451654813427,26.0,6.0,0.0
283,691.6859464686444,24.0,6.0,0.0
284,920.6246916852997,22.0,6.0,0.0
285,1153.187669995324,20.0,6.0,0.0
286,1388.2981934613476,18.0,6.0,0.0
287,1624.6285523674223,16.0,6.0,0.0
288,1860.4324379185039,14.0,6.0,0.0
289,2101.1235025676024,12.0,6.0,0.0
290,2340.3934694649024,10.0,6.0,0.0
291,2561.6827617537933,8.0,6.0,0.0
292,2778.7553217776267,6.0,6.0,0.0
293,2921.464014073392,4.0,6.0,0.0
294,3408.0676682659305,2.0,6.0,0.0
295,911.4790795280451,98.0,4.0,0.0
296,1074.255336937573,96.0,4.0,0.0
297,1232.191718845272,94.0,4.0,0.0
298,1383.7220558056624,92.0,4.0,0.0
299,1527.9166592156696,90.0,4.0,0.0
300,1664.0340408703532,88.0,4.0,0.0
301,1790.8388078008345,86.0,4.0,0.0
302,1907.605630737314,84.0,4.0,0.0
303,2013.7135756683945,82.0,4.0,0.0
304,2108.761944807781,80.0,4.0,0.0
305,2192.379337392894,78.0,4.0,0.0
