NodeID,Corrected SVM (MPa),X,Y,Z
197,426.02240143652597,98.0,8.0,0.0
198,403.96093918863016,96.0,8.0,0.0
199,381.42173212851174,94.0,8.0,0.0
200,358.3840846855415,92.0,8.0,0.0
201,334.8564923154955,90.0,8.0,0.0
202,310.8514783828635,88.0,8.0,0.0
203,286.45228274906566,86.0,8.0,0.0
204,261.62355612164515,84.0,8.0,0.0
205,236.357730268857,82.0,8.0,0.0
206,210.75465735554087,80.0,8.0,0.0
207,184.78894431437905,78.0,8.0,0.0
208,158.56147792779257,76.0,8.0,0.0
209,132.21852978280026,74.0,8.0,0.0
210,106.078052072979,72.0,8.0,0.0
211,83.65896169253966,70.0,8.0,0.0
212,92.8322529230754,68.0,8.0,0.0
213,120.31020764643881,66.0,8.0,0.0
214,150.79621366159785,64.0,8.0,0.0
215,182.03844879778788,62.0,8.0,0.0
216,213.66952143269748,60.0,8.0,0.0
217,245.67101938540094,58.0,8.0,0.0
218,277.9682397511942,56.0,8.0,0.0
219,310.54761469365354,54.0,8.0,0.0
220,343.4001717910365,52.0,8.0,0.0
221,376.5147920996776,50.0,8.0,0.0
222,409.9028270334751,48.0,8.0,0.0
223,443.5143722140468,46.0,8.0,0.0
224,477.3245838024967,44.0,8.0,0.0
225,511.3066366640618,42.0,8.0,0.0
226,545.4342752730522,40.0,8.0,0.0
227,579.6842375856894,38.0,8.0,0.0
228,614.0356583040209,36.0,8.0,0.0
229,648.4797087322337,34.0,8.0,0.0
230,683.0095711641093,32.0,8.0,0.0
231,717.6227129598605,30.0,8.0,0.0
232,752.318282660814,28.0,8.0,0.0
233,787.0930537652565,26.0,8.0,0.0
234,814.4424371245528,24.0,8.0,0.0
235,817.2581840704004,22.0,8.0,0.0
236,820.1723935350315,20.0,8.0,0.0
237,823.1779087772608,18.0,8.0,0.0
238,826.2630629973493,16.0,8.0,0.0
239,829.4125034350569,14.0,8.0,0.0
240,832.5931547574318,12.0,8.0,0.0
241,835.8002780553484,10.0,8.0,0.0
242,838.4562339710566,8.0,8.0,0.0
243,841.2471828632673,6.0,8.0,0.0
244,842.8849089315326,4.0,8.0,0.0
245,848.2335825121601,2.0,8.0,0.0
246,425.81305283369915,98.0,6.0,0.0
247,403.5122201698294,96.0,6.0,0.0
248,380.912857710195,94.0,6.0,0.0
249,357.86265949634907,92.0,6.0,0.0
250,334.3127107730843,90.0,6.0,0.0
251,310.2764585304066,88.0,6.0,0.0
252,285.8376516705316,86.0,6.0,0.0
253,260.9550854180152,84.0,6.0,0.0
254,235.62671495357804,82.0,6.0,0.0
255,209.9385674795761,80.0,6.0,0.0
256,183.87202333149546,78.0,6.0,0.0
257,157.5119544976298,76.0,6.0,0.0
258,130.98625535335526,74.0,6.0,0.0
259,104.63712394735116,72.0,6.0,0.0
260,83.63734623513281,70.0,6.0,0.0
261,91.50923024109586,68.0,6.0,0.0
262,118.92768576987868,66.0,6.0,0.0
263,149.59726229316996,64.0,6.0,0.0
264,181.03288143083418,62.0,6.0,0.0
265,212.80789916641322,60.0,6.0,0.0
266,244.91368988170885,58.0,6.0,0.0
267,277.2948202238549,56.0,6.0,0.0
268,309.9403525540176,54.0,6.0,0.0
269,342.84558433946984,52.0,6.0,0.0
270,376.0020024841341,50.0,6.0,0.0
271,409.4225343006384,48.0,6.0,0.0
272,443.06151763265,46.0,6.0,0.0
273,476.8944031200012,44.0,6.0,0.0
274,510.89596582012376,42.0,6.0,0.0
275,545.0410555422156,40.0,6.0,0.0
276,579.3063066949799,38.0,6.0,0.0
277,613.6700521850754,36.0,6.0,0.0
278,648.1240342737103,34.0,6.0,0.0
279,682.6599893141996,32.0,6.0,0.0
280,717.2720154040082,30.0,6.0,0.0
281,751.9532106949688,28.0,6.0,0.0
282,786.6902151048848,26.0,6.0,0.0
283,814.4042296665524,24.0,6.0,0.0
284,817.2061033832035,22.0,6.0,0.0
285,820.094534090545,20.0,6.0,0.0
286,823.0522544782581,18.0,6.0,0.0
287,826.0486665446567,16.0,6.0,0.0
288,829.0341154895789,14.0,6.0,0.0
289,831.9087169559635,12.0,6.0,0.0
290,834.5636562243243,10.0,6.0,0.0
291,836.5836787340021,8.0,6.0,0.0
292,838.1380144393871,6.0,6.0,0.0
293,837.6040175530322,4.0,6.0,0.0
294,847.5043231047579,2.0,6.0,0.0
295,425.8130625444815,98.0,4.0,0.0
296,403.51222001696254,96.0,4.0,0.0
297,380.9128673943499,94.0,4.0,0.0
298,357.8626641533222,92.0,4.0,0.0
